date,setting,classifier,shot_1,shot_2,shot_3,shot_4,shot_5,shot_6,shot_7,shot_8,shot_9,shot_10
2024-02-26_17-07,S: filtered/ Q: unfiltered,ncm_max,0.926,0.9612,0.9712,0.9753333333333332,0.9796,0.9802666666666664,0.9814666666666666,0.9829333333333332,0.9828,0.9829333333333332
2024-02-26_17-07,S: filtered/ Q: unfiltered,ncm_sum,0.9266666666666664,0.9612,0.9712,0.9753333333333336,0.9793333333333332,0.9803999999999998,0.9814666666666666,0.9838666666666664,0.9834666666666664,0.9837333333333332
,,,,,,,,,,,,
2024-02-26_17-13,S: unfiltered/ Q: whole,matching_1nn,0.9104000000000002,0.9397333333333332,0.9509333333333332,0.9558666666666666,0.9606666666666668,0.9648,0.9669333333333332,0.9690666666666664,0.9697333333333332,0.9721333333333332
2024-02-26_17-13,S: unfiltered/ Q: whole,matching_knn,0.9104000000000002,0.9421333333333332,0.9492000000000002,0.9593333333333336,0.9605333333333336,0.9637333333333332,0.9649333333333332,0.9669333333333332,0.9676,0.9691999999999998
2024-02-26_17-13,S: unfiltered/ Q: whole,ncm_max,0.9081333333333332,0.9465333333333332,0.9582666666666668,0.9648,0.9685333333333332,0.9710666666666664,0.9726666666666663,0.9735999999999996,0.9734666666666664,0.9735999999999998
2024-02-26_17-13,S: unfiltered/ Q: whole,ncm_sum,0.9081333333333332,0.9465333333333332,0.9582666666666668,0.9648,0.9685333333333332,0.9710666666666664,0.9726666666666663,0.9735999999999996,0.9734666666666664,0.9735999999999998
,,,,,,,,,,,,
2024-02-26_17-20,S: unfiltered/ Q: filtered,matching_1nn,0.9261333333333333,0.9561333333333332,0.962,0.966,0.9704,0.9730666666666664,0.9745333333333334,0.9766666666666668,0.9765333333333333,0.9777333333333332
2024-02-26_17-20,S: unfiltered/ Q: filtered,matching_knn,0.9261333333333333,0.9570666666666666,0.9662666666666666,0.9718666666666664,0.9756,0.9782666666666668,0.9806666666666668,0.9821333333333334,0.9829333333333332,0.9832
2024-02-26_17-20,S: unfiltered/ Q: filtered,ncm_max,0.926,0.9612,0.9712,0.9753333333333332,0.9796,0.9802666666666664,0.9814666666666666,0.9829333333333332,0.9828,0.9829333333333332
2024-02-26_17-20,S: unfiltered/ Q: filtered,ncm_sum,0.9266666666666664,0.9612,0.9712,0.9753333333333336,0.9793333333333332,0.9803999999999998,0.9814666666666666,0.9838666666666664,0.9834666666666664,0.9837333333333332
,,,,,,,,,,,,
2024-02-26_17-26,S: unfiltered/ Q: unfiltered,matching_1nn,0.9261333333333333,0.9561333333333333,0.9620000000000001,0.9660000000000001,0.9704,0.9730666666666665,0.9745333333333334,0.9766666666666667,0.9765333333333333,0.9777333333333332
2024-02-26_17-26,S: unfiltered/ Q: unfiltered,matching_knn,0.9261333333333333,0.9570666666666666,0.9662666666666666,0.9718666666666665,0.9755999999999999,0.9782666666666667,0.9806666666666668,0.9821333333333334,0.9829333333333332,0.9832
2024-02-26_17-26,S: unfiltered/ Q: unfiltered,ncm_max,0.9259999999999999,0.9611999999999999,0.9712,0.9753333333333333,0.9795999999999999,0.9802666666666664,0.9814666666666666,0.9829333333333332,0.9827999999999999,0.9829333333333333
2024-02-26_17-26,S: unfiltered/ Q: unfiltered,ncm_sum,0.9266666666666665,0.9611999999999999,0.9712,0.9753333333333335,0.9793333333333333,0.9803999999999998,0.9814666666666666,0.9838666666666664,0.9834666666666665,0.9837333333333332
